strategy_name,strategy_type,symbol,symbols,num_assets,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,buyhold_return,outperformance,beat_buyhold
DeepRLPortfolio,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,0.031264427801481726,0.3054762041926834,0.324777459304101,0.5129789864029666,0,0.0,10312.644278014817,0.30865427637442866,-0.2773898485729469,False
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,-0.04573568807242536,-0.8739943693563101,0.14810009469978097,0.5149253731343284,0,0.0,9542.643119275746,-0.03172261238795142,-0.014013075684473943,False
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,0.029485899474849246,0.8313536968719916,0.1537683490573091,0.5270522388059702,0,0.0,10294.858994748492,-0.03172261238795142,0.061208511862800664,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,0.12801373095137733,1.074642999950064,0.14752038668722117,0.5154702970297029,0,0.0,11280.137309513773,-0.06572224413093859,0.19373597508231594,True
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,0.16602150470053292,1.3641607644307334,0.14976447707589086,0.5204207920792079,0,0.0,11660.21504700533,-0.06572224413093859,0.23174374883147153,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,0.11724453411012237,0.5518792072313911,0.4040078172891127,0.5111248454882571,0,0.0,11172.445341101224,0.30865427637442866,-0.1914097422643063,False
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,0.0951325445589333,0.5006705581959221,0.3553231243251634,0.5160692212608158,0,0.0,10951.325445589333,0.30865427637442866,-0.21352173181549536,False
PortfolioRebalancer,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,-0.07750117882159356,-2.2030078350275035,0.16247969555433103,0.5042134831460674,0,0.0,9224.988211784064,-0.03172261238795142,-0.04577856643364214,False
PortfolioRebalancer,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,0.033344830638243,1.086791180822259,0.16870567385949137,0.5168539325842697,0,0.0,10333.44830638243,-0.03172261238795142,0.06506744302619441,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,0.13031370349652807,1.3241890185950869,0.1629699518574619,0.5116171003717472,1,0.0,11303.13703496528,-0.06572224413093859,0.19603594762746668,True
PortfolioRebalancer,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,0.2948008436880721,2.4917965610740214,0.16793004126106312,0.5315985130111525,1,0.0,12948.008436880718,-0.06572224413093859,0.36052308781901066,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,0.8112820584797424,2.759589305562963,0.18068890016314978,0.5169294990723562,1,0.0,18112.820584797424,0.30865427637442866,0.5026277821053138,True
PortfolioRebalancer,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,0.9153077719609842,3.1982377196418232,0.16724408608105315,0.525974025974026,2,0.0,19153.07771960984,0.30865427637442866,0.6066534955865556,True
RiskParity,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,-0.07424353774826632,-1.322035977602978,0.16148680269523594,0.5102611940298507,0,0.0,9257.564622517337,-0.03172261238795142,-0.042520925360314904,False
RiskParity,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,0.035776872478942456,0.8850056092350215,0.16642212749442514,0.5261194029850746,0,0.0,10357.768724789425,-0.03172261238795142,0.06749948486689387,True
RiskParity,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,0.265574574849003,1.6506350589293604,0.16731488931884786,0.5136138613861386,0,0.0,12655.74574849003,-0.06572224413093859,0.33129681897994157,True
RiskParity,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,0.38718080997354976,2.3030140635382788,0.16340278850249523,0.525680693069307,0,0.0,13871.808099735497,-0.06572224413093859,0.45290305410448833,True
RiskParity,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,0.20412025490190736,0.730441475586697,0.45850696428490995,0.5139060568603214,0,0.0,12041.202549019074,0.30865427637442866,-0.1045340214725213,False
RiskParity,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,0.33601647727138934,1.0268318977671427,0.3983705327533352,0.5213226205191595,0,0.0,13360.164772713893,0.30865427637442866,0.027362200896960676,True
