strategy,symbol,timeframe,horizon,window_id,dataset_type,start_date,end_date,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,cached_at
BlackLitterman,PORTFOLIO,1h,30d,14,test,2024-12-19 13:00:00,2025-01-18 13:00:00,0.02103091935023276,0.008252648690007119,0.10690127335617583,1.0,1,0.0,10210.309193502328,2025-10-25T12:45:36.411546
BlackLitterman,PORTFOLIO,1h,30d,15,test,2025-01-18 13:00:00,2025-02-17 13:00:00,-0.07371565377051738,-0.016043092765594822,0.13647265562219213,0.0,1,0.0,9262.843462294826,2025-10-25T12:45:36.419397
BlackLitterman,PORTFOLIO,1h,30d,16,test,2025-02-17 13:00:00,2025-03-19 13:00:00,-0.12263513158294699,-0.023036056080519736,0.20762614953815062,0.0,1,0.0,8773.64868417053,2025-10-25T12:45:36.429121
BlackLitterman,PORTFOLIO,1h,30d,17,test,2025-03-19 13:00:00,2025-04-18 13:00:00,0.003973673989385498,0.003686804662956422,0.14698409138759905,1.0,1,0.0,10039.736739893855,2025-10-25T12:45:36.450084
BlackLitterman,PORTFOLIO,1h,30d,18,test,2025-04-18 13:00:00,2025-05-18 13:00:00,0.224804337391849,0.08336153539321207,0.04042300243842456,1.0,1,0.0,12248.04337391849,2025-10-25T12:45:36.469120
BlackLitterman,PORTFOLIO,1h,30d,19,test,2025-05-18 13:00:00,2025-06-17 13:00:00,0.004094507790258831,0.003378926159193664,0.0963065823564152,1.0,1,0.0,10040.945077902588,2025-10-25T12:45:36.491597
BlackLitterman,PORTFOLIO,1h,30d,20,test,2025-06-17 13:00:00,2025-07-17 13:00:00,0.11502432430320696,0.04584340510591215,0.06365707790406439,1.0,1,0.0,11150.24324303207,2025-10-25T12:45:36.514048
BlackLitterman,PORTFOLIO,1h,30d,21,test,2025-07-17 13:00:00,2025-08-16 13:00:00,-0.006704018728452138,-0.0015957317099325084,0.06592195919953625,0.0,1,0.0,9932.959812715479,2025-10-25T12:45:36.532396
BlackLitterman,PORTFOLIO,1h,30d,22,test,2025-08-16 13:00:00,2025-09-15 13:00:00,-0.025289788037303515,-0.009049142474394629,0.08842887602265392,0.0,1,0.0,9747.102119626965,2025-10-25T12:45:36.550671
BlackLitterman,PORTFOLIO,1h,90d,0,train,2022-10-26 13:00:00,2023-01-24 13:00:00,0.10506364683680895,0.011815506799255469,0.2572399646482465,1.0,1,0.0,11050.63646836809,2025-10-25T12:45:36.568449
BlackLitterman,PORTFOLIO,1h,90d,1,train,2023-01-24 13:00:00,2023-04-24 13:00:00,0.1962729247163368,0.01844423331193534,0.20743918286058394,1.0,1,0.0,11962.729247163368,2025-10-25T12:45:36.586513
BlackLitterman,PORTFOLIO,1h,90d,2,train,2023-04-24 13:00:00,2023-07-23 13:00:00,0.07632291277463919,0.010388540033543088,0.16046126583461773,1.0,1,0.0,10763.229127746392,2025-10-25T12:45:36.605552
BlackLitterman,PORTFOLIO,1h,90d,3,train,2023-07-23 13:00:00,2023-10-21 13:00:00,-0.005005848773479738,0.0009810292218605163,0.16426098737086037,0.0,1,0.0,9949.941512265203,2025-10-25T12:45:36.628692
BlackLitterman,PORTFOLIO,1h,90d,0,test,2023-10-26 13:00:00,2024-01-24 13:00:00,0.15980554962391325,0.017273985617192174,0.1946190812298615,1.0,1,0.0,11598.055496239132,2025-10-25T12:45:36.650679
BlackLitterman,PORTFOLIO,1h,90d,1,test,2024-01-24 13:00:00,2024-04-23 13:00:00,0.627825817993087,0.04129764491311064,0.1768171301064888,1.0,1,0.0,16278.25817993087,2025-10-25T12:45:36.672804
BlackLitterman,PORTFOLIO,1h,90d,2,test,2024-04-23 13:00:00,2024-07-22 13:00:00,0.006973030098954404,0.0029905550006869355,0.23613745471361192,1.0,1,0.0,10069.730300989544,2025-10-25T12:45:36.691129
BlackLitterman,PORTFOLIO,1h,90d,3,test,2024-07-22 13:00:00,2024-10-20 13:00:00,0.017716285033036003,0.004204555109412363,0.27265379045139115,1.0,1,0.0,10177.16285033036,2025-10-25T12:45:37.981145
BlackLitterman,PORTFOLIO,1h,90d,4,test,2024-10-20 13:00:00,2025-01-18 13:00:00,0.4962570630771768,0.03821722423158768,0.15667233808085101,1.0,1,0.0,14962.570630771768,2025-10-25T12:45:38.463738
BlackLitterman,PORTFOLIO,1h,90d,5,test,2025-01-18 13:00:00,2025-04-18 13:00:00,-0.18134111804523673,-0.012609891549822538,0.29440915299725023,0.0,1,0.0,8186.588819547633,2025-10-25T12:45:41.406537
BlackLitterman,PORTFOLIO,1h,90d,6,test,2025-04-18 13:00:00,2025-07-17 13:00:00,0.37669653319972624,0.043523188821085385,0.11096141558574557,1.0,1,0.0,13766.965331997262,2025-10-25T12:45:41.614718
BlackLitterman,PORTFOLIO,1h,180d,0,train,2022-10-26 13:00:00,2023-04-24 13:00:00,0.32495324553188565,0.015301443023114803,0.2572399646482465,1.0,1,0.0,13249.532455318857,2025-10-25T12:45:48.752271
BlackLitterman,PORTFOLIO,1h,180d,1,train,2023-04-24 13:00:00,2023-10-21 13:00:00,0.07244677736961858,0.006201536569433576,0.19918124084286182,1.0,1,0.0,10724.467773696186,2025-10-25T12:45:48.770232
BlackLitterman,PORTFOLIO,1h,180d,0,test,2023-10-26 13:00:00,2024-04-23 13:00:00,0.8960077310129112,0.030657822280866706,0.1946190812298615,1.0,1,0.0,18960.077310129112,2025-10-25T12:45:52.763555
BlackLitterman,PORTFOLIO,1h,180d,1,test,2024-04-23 13:00:00,2024-10-20 13:00:00,0.02628206966495436,0.003703156145624559,0.2911478897067741,1.0,1,0.0,10262.820696649544,2025-10-25T12:45:52.791429
BlackLitterman,PORTFOLIO,1h,180d,2,test,2024-10-20 13:00:00,2025-04-18 13:00:00,0.2219435899673017,0.011019670401882719,0.29938850543138484,1.0,1,0.0,12219.435899673017,2025-10-25T12:45:58.686713
RiskParity,PORTFOLIO,1h,30d,0,train,2022-10-26 13:00:00,2022-11-25 13:00:00,-0.18886893918794703,-0.03921631980090235,0.2572399646482465,0.0,1,0.0,8111.31060812053,2025-10-25T12:45:58.708794
RiskParity,PORTFOLIO,1h,30d,1,train,2022-11-25 13:00:00,2022-12-25 13:00:00,0.01699447461205382,0.00925986364858802,0.094150539773034,1.0,1,0.0,10169.944746120538,2025-10-25T12:45:58.728310
RiskParity,PORTFOLIO,1h,30d,2,train,2022-12-25 13:00:00,2023-01-24 13:00:00,0.33985262279557027,0.09741707650026438,0.03357419868370359,1.0,1,0.0,13398.526227955703,2025-10-25T12:45:58.746946
RiskParity,PORTFOLIO,1h,30d,3,train,2023-01-24 13:00:00,2023-02-23 13:00:00,0.0463085537240624,0.015613271763381243,0.10756016875534458,1.0,1,0.0,10463.085537240624,2025-10-25T12:45:58.767806
